3528-9470-0054-0393,Classic,1574300,IDR,1988,05-02-2016,Online Transaction
3528-9470-0053-0844,Classic,1222600,IDR,1515,28-02-2016,Online Transaction
3528-9470-0059-0101,Classic,805300,IDR,2660,05-02-2016,Retail Foreign
3528-9470-0055-0672,Gold,1374200,IDR,4188,18-02-2016,Online Transaction
3528-9470-0056-0650,Gold,1093900,IDR,695,08-02-2016,Online Transaction
3528-9470-0051-0511,Cashback,1511500,IDR,7312,04-02-2016,Online Transaction
3528-9470-0056-0310,Platinum,1901800,IDR,827,12-02-2016,Retail Foreign
3528-9470-0053-0422,Cashback,652600,IDR,3264,17-02-2016,Retail Domestic
3528-9470-0053-0247,Cashback,33300,SGD,6169,10-02-2016,Retail Foreign
3528-9470-0058-0524,Classic,937300,IDR,4087,27-02-2016,Retail Domestic
3528-9470-0058-0164,Platinum,1459900,IDR,1683,10-02-2016,Retail Domestic
3528-9470-0054-0762,Gold,1009100,IDR,1113,19-02-2016,Online Transaction
3528-9470-0050-0189,Cashback,379100,IDR,4266,08-02-2016,Online Transaction
3528-9470-0059-0922,Cashback,131700,IDR,8827,18-02-2016,Online Transaction
3528-9470-0050-0019,Gold,1688900,SGD,2205,09-02-2016,Retail Foreign
3528-9470-0052-0896,Cashback,1412900,IDR,5035,24-02-2016,Retail Foreign
3528-9470-0057-0309,Cashback,373100,IDR,6816,20-02-2016,Online Transaction
3528-9470-0054-0199,Platinum,1011100,IDR,7940,16-02-2016,Retail Foreign
3528-9470-0051-0310,Cashback,944300,IDR,5884,02-02-2016,Online Transaction
3528-9470-0058-0731,Gold,454100,IDR,2775,20-02-2016,Online Transaction
3528-9470-0051-0766,Classic,1384200,IDR,8568,19-02-2016,Online Transaction
3528-9470-0053-0799,Cashback,90900,IDR,1196,13-02-2016,Retail Foreign
3528-9470-0054-0049,Platinum,1843500,IDR,4536,19-02-2016,Online Transaction
3528-9470-0059-0377,Classic,1847800,IDR,7644,13-02-2016,Retail Foreign
3528-9470-0054-0551,Gold,1347000,IDR,3322,07-02-2016,Online Transaction
3528-9470-0053-0623,Gold,208700,IDR,690,10-02-2016,Retail Domestic
3528-9470-0055-0326,Classic,1968600,IDR,342,22-02-2016,Retail Foreign
3528-9470-0055-0646,Classic,534300,IDR,1856,06-02-2016,Retail Domestic
3528-9470-0057-0979,Gold,639200,SGD,2417,07-02-2016,Retail Domestic
3528-9470-0057-0522,Gold,853500,SGD,3769,07-02-2016,Online Transaction
3528-9470-0055-0809,Cashback,986900,IDR,1852,01-02-2016,Retail Domestic
3528-9470-0052-0555,Cashback,1118800,IDR,5325,22-02-2016,Retail Domestic
3528-9470-0054-0196,Classic,495500,SGD,8250,05-02-2016,Retail Domestic
3528-9470-0058-0800,Cashback,933300,SGD,6198,18-02-2016,Online Transaction
3528-9470-0059-0245,Cashback,308800,IDR,3426,03-02-2016,Retail Foreign
3528-9470-0052-0823,Platinum,986400,IDR,4796,18-02-2016,Retail Domestic
3528-9470-0058-0675,Classic,1919400,IDR,9100,26-02-2016,Retail Domestic
3528-9470-0055-0718,Cashback,49700,SGD,8228,19-02-2016,Retail Foreign
3528-9470-0055-0960,Platinum,1253800,IDR,4903,10-02-2016,Retail Domestic
3528-9470-0052-0372,Classic,1776500,IDR,8439,07-02-2016,Retail Domestic
3528-9470-0058-0717,Platinum,1111900,IDR,4720,26-02-2016,Retail Foreign
3528-9470-0055-0985,Cashback,270700,IDR,4089,11-02-2016,Retail Domestic
3528-9470-0056-0354,Classic,1722400,IDR,5247,26-02-2016,Retail Foreign
3528-9470-0052-0829,Platinum,1453600,SGD,8122,13-02-2016,Retail Foreign
3528-9470-0058-0952,Classic,1319300,IDR,5894,24-02-2016,Retail Domestic
3528-9470-0053-0267,Platinum,440000,SGD,2260,22-02-2016,Retail Foreign
3528-9470-0058-0411,Platinum,1327600,SGD,8015,10-02-2016,Online Transaction
3528-9470-0050-0020,Cashback,805800,IDR,864,21-02-2016,Online Transaction
3528-9470-0059-0837,Gold,1296400,IDR,7956,05-02-2016,Retail Foreign
3528-9470-0052-0681,Platinum,934800,SGD,765,28-02-2016,Retail Domestic
3528-9470-0051-0188,Gold,1052400,IDR,797,09-02-2016,Online Transaction
3528-9470-0059-0479,Gold,491100,SGD,3185,09-02-2016,Online Transaction
3528-9470-0051-0158,Gold,188600,IDR,4547,23-02-2016,Online Transaction
3528-9470-0052-0298,Cashback,960400,IDR,2700,22-02-2016,Retail Domestic
3528-9470-0059-0322,Cashback,1415300,IDR,3296,13-02-2016,Online Transaction
3528-9470-0054-0939,Gold,570900,IDR,1543,10-02-2016,Retail Domestic
3528-9470-0056-0528,Gold,921600,SGD,3742,26-02-2016,Retail Domestic
3528-9470-0050-0641,Platinum,322600,IDR,5738,13-02-2016,Retail Domestic
3528-9470-0051-0531,Platinum,1133300,IDR,4156,12-02-2016,Online Transaction
3528-9470-0058-0840,Classic,540900,IDR,9296,09-02-2016,Online Transaction
3528-9470-0056-0889,Gold,157100,SGD,8669,04-02-2016,Retail Domestic
3528-9470-0053-0189,Gold,1697500,IDR,3450,20-02-2016,Retail Domestic
3528-9470-0058-0105,Classic,262400,IDR,4307,04-02-2016,Retail Domestic
3528-9470-0059-0822,Gold,1850000,IDR,2935,01-02-2016,Retail Foreign
3528-9470-0057-0012,Classic,637800,IDR,496,21-02-2016,Retail Foreign
3528-9470-0052-0871,Platinum,1458800,IDR,7952,24-02-2016,Online Transaction
3528-9470-0056-0418,Platinum,1845700,IDR,5876,16-02-2016,Retail Foreign
3528-9470-0059-0229,Classic,966300,IDR,2714,17-02-2016,Retail Domestic
3528-9470-0053-0995,Platinum,148800,IDR,9001,05-02-2016,Retail Domestic
3528-9470-0050-0570,Gold,903000,IDR,8619,06-02-2016,Retail Domestic
3528-9470-0055-0419,Cashback,128200,IDR,3452,08-02-2016,Online Transaction
3528-9470-0056-0609,Gold,850600,IDR,4156,13-02-2016,Online Transaction
