CardNumber	ProductType	NULL	Currency	NULL	TxnDate	TxnType 
3528-9470-0054-0393	Classic	1574300	IDR	1988	05-02-2016	Online Transaction
3528-9470-0053-0844	Classic	1222600	IDR	1515	28-02-2016	Online Transaction
3528-9470-0059-0101	Classic	805300	IDR	2660	05-02-2016	Retail Foreign
3528-9470-0055-0672	Gold	1374200	IDR	4188	18-02-2016	Online Transaction
3528-9470-0056-0650	Gold	1093900	IDR	695	08-02-2016	Online Transaction
3528-9470-0051-0511	Cashback	1511500	IDR	7312	04-02-2016	Online Transaction
3528-9470-0056-0310	Platinum	1901800	IDR	827	12-02-2016	Retail Foreign
3528-9470-0053-0422	Cashback	652600	IDR	3264	17-02-2016	Retail Domestic
3528-9470-0053-0247	Cashback	33300	SGD	6169	10-02-2016	Retail Foreign
WARN: The method class org.apache.commons.logging.impl.SLF4JLogFactory#release() was invoked.
WARN: Please see http://www.slf4j.org/codes.html#release for an explanation.
